method,location,code,level,leb,prediction,abs(deviation),abs(%deviation)
GF,Alkmaar_NLD_2,NLD,2,81.7,81.46111,0.238892269134516,0.292401798206262
GF,Almelo_NLD_2,NLD,2,80,80.049485,0.0494849681854204,0.0618562102317755
GF,Almere_NLD_2,NLD,2,81.8,81.482947,0.317053127288813,0.387595510133024
GF,Alphen aan den Rijn_NLD_2,NLD,2,82.1,81.156087,0.943913078308101,1.14971142303057
GF,Alphen-Chaam_NLD_2,NLD,2,81.8,80.93078,0.869218635559077,1.06261446889863
GF,Altena_NLD_2,NLD,2,82.2,81.25377,0.946227025985713,1.15112776883907
GF,Altenburger Land_DEU_3,DEU,3,80.77,80.490476,0.279524106979367,0.346074169839504
GF,Altmarkkreis Salzwedel_DEU_3,DEU,3,79.83,79.40196,0.428042011260987,0.536191921910294
GF,Altötting_DEU_3,DEU,3,81.57,81.778103,0.20810311317444,0.255122119865686
GF,Alytus_LTU_1,LTU,1,76.06,76.15956,0.0995606803893989,0.130897555074151
GF,Alzey-Worms_DEU_3,DEU,3,80.91,81.05779,0.147792901992794,0.182663332088486
GF,Amberg-Sulzbach_DEU_3,DEU,3,81.01,81.17891,0.168909540176387,0.208504555210946
GF,Ameland_NLD_2,NLD,2,84,83.533436,0.466563940048215,0.55543326196216
GF,Amersfoort_NLD_2,NLD,2,82,81.424487,0.575513362884517,0.701845564493313
GF,Amhara_ETH_1,ETH,1,65.31,66.13583,0.825829687118529,1.26447663010034
GF,Ammerland_DEU_3,DEU,3,82.27,81.942225,0.327775497436522,0.398414364211161
GF,Amstelveen_NLD_2,NLD,2,83.1,82.164884,0.93511638641357,1.12529047703197
GF,Amsterdam_NLD_2,NLD,2,81,81.117815,0.117814779281611,0.145450344792112
GF,Analamanga_MDG_1,MDG,1,69.63,69.87282,0.242820377349851,0.348729538058094
GF,Analanjirofo_MDG_1,MDG,1,66.28,66.371757,0.091756792068487,0.138438129252394
GF,Andalucía_ESP_1,ESP,1,82.16,81.77738,0.382618103027343,0.465698762204654
GF,Andorra_AND_0,AND,0,83,82.701784,0.298215627670284,0.35929593695215
GF,Androy_MDG_1,MDG,1,64.49,64.85967,0.369670400619504,0.57322127557684
GF,Angola_AGO_0,AGO,0,62.45,62.697655,0.247654962539667,0.396565192217242
GF,Anhalt-Bitterfeld_DEU_3,DEU,3,79.35,79.09778,0.252222394943236,0.317860611144594
GF,Anjouan_COM_1,COM,1,63.34,63.39593,0.0559293365478553,0.0883001840035606
GF,Anosy_MDG_1,MDG,1,64.14,64.939576,0.799576387405399,1.24661114344465
GF,Ansbach_DEU_3,DEU,3,81.1,80.14051,0.959492778778082,1.1830983708731
GF,Anseba_ERI_1,ERI,1,72.51,72.40541,0.104590187072751,0.144242431489106
GF,Apeldoorn_NLD_2,NLD,2,81,80.181444,0.818556308746343,1.01056334413129
GF,Aragón_ESP_1,ESP,1,83.95,83.30967,0.640331697463992,0.762753659873724
GF,Arnhem_NLD_2,NLD,2,79.6,79.585457,0.0145431518554728,0.0182702912757196
GF,Arusha_TZA_1,TZA,1,72.31,72.811604,0.501603546142582,0.693684893019751
GF,Aschaffenburg_DEU_3,DEU,3,82.42,82.25779,0.162210626602177,0.196809787190217
GF,Asten_NLD_2,NLD,2,82.3,81.26656,1.03344182968139,1.25570088661165
GF,Aswan_EGY_1,EGY,1,70.65,71.02008,0.370078659057616,0.523819758043334
GF,Atsimo-Andrefana_MDG_1,MDG,1,64.08,64.31162,0.231617612838742,0.361450706677187
GF,Atsimo-Atsinanana_MDG_1,MDG,1,61.5,61.732227,0.232226610183717,0.377604244201165
GF,Atsinanana_MDG_1,MDG,1,65.06,64.83146,0.228540477752681,0.351276479792009
GF,Augsburg_DEU_3,DEU,3,82.56,82.022464,0.537535724639893,0.651084937790568
GF,Aurich_DEU_3,DEU,3,80.07,79.614466,0.455533571243283,0.568919159789288
GF,Austria_AUT_0,AUT,0,81.91,81.41793,0.49206987380982,0.600744565754877
GF,Awdal_SOM_1,SOM,1,69.9,70.082986,0.182986354827885,0.261783054117147
GF,Azerbaijan_AZE_0,AZE,0,73.1,73.570395,0.470394515991213,0.64349454991958
GF,Baarle-Nassau_NLD_2,NLD,2,81.4,81.17424,0.225757503509516,0.277343370404811
GF,Bad Dürkheim_DEU_3,DEU,3,81.35,80.942905,0.407095050811768,0.500424155884164
GF,Bad Kissingen_DEU_3,DEU,3,81.53,81.46761,0.0623894023895288,0.0765232459089033
GF,Bad Kreuznach_DEU_3,DEU,3,81.13,80.83928,0.290717725753786,0.358335665911237
GF,Bad Tölz-Wolfratshausen_DEU_3,DEU,3,82.78,82.105815,0.674184589385984,0.814429317934265
GF,Baden-Württemberg_DEU_1,DEU,1,82,81.35442,0.645578622817988,0.787291003436571
GF,Bakool_SOM_1,SOM,1,54.25,54.93009,0.680090904235842,1.25362378660985
GF,Bamberg_DEU_3,DEU,3,80.85,80.59613,0.253868913650512,0.313999893197913
GF,Banadir_SOM_1,SOM,1,51.99,52.07947,0.0894689655303926,0.172088796942475
GF,Bangui_CAF_1,CAF,1,59.67,60.06214,0.392140226364135,0.657181542423554
GF,Barendrecht_NLD_2,NLD,2,83.7,83.01106,0.688939046859738,0.82310519338081
GF,Bari_SOM_1,SOM,1,59.44,59.119284,0.320715847015385,0.539562326741899
GF,Baringo_KEN_1,KEN,1,59,59.33167,0.331667423248294,0.562148174997109
GF,Barneveld_NLD_2,NLD,2,81.8,81.219363,0.580636787414546,0.709824923489665
GF,Barnim_DEU_3,DEU,3,81.01,80.89821,0.111792573928837,0.137998486518747
GF,Bautzen_DEU_3,DEU,3,81.12,80.20045,0.919548387527469,1.13356556647864
GF,Bay_SOM_1,SOM,1,51.56,51.10091,0.459090290069575,0.890400097109338
GF,Bayern_DEU_1,DEU,1,82,81.55907,0.440932035446162,0.537721994446539
